#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold18_size1287306:280822-282348   -            509 905026at2759         -            402   7.1e-48  159.1   0.0   1   2   2.4e-07   1.5e-05   19.8   0.0    79   138   105   169    95   176 0.86 -
scaffold18_size1287306:280822-282348   -            509 905026at2759         -            402   7.1e-48  159.1   0.0   2   2   6.2e-43   3.7e-41  137.0   0.3   168   324   302   467   255   476 0.80 -
scaffold86_size624847:514444-515361    -            306 905026at2759         -            402   6.2e-17   57.2   3.1   1   2   1.2e-12   7.2e-11   37.3   1.0   205   280    68   144    51   152 0.86 -
scaffold86_size624847:514444-515361    -            306 905026at2759         -            402   6.2e-17   57.2   3.1   2   2   5.7e-07   3.4e-05   18.6   0.0   200   279   165   245   154   250 0.87 -
scaffold109_size879770:767455-768360   -            302 905026at2759         -            402   3.8e-09   31.6   8.2   1   5     0.029       1.8    3.1   0.2   357   391   103   137    62   141 0.81 -
scaffold109_size879770:767455-768360   -            302 905026at2759         -            402   3.8e-09   31.6   8.2   2   5    0.0002     0.012   10.2   0.0   332   365   147   180   141   185 0.88 -
scaffold109_size879770:767455-768360   -            302 905026at2759         -            402   3.8e-09   31.6   8.2   3   5    0.0012     0.073    7.6   0.2   335   366   192   223   187   228 0.91 -
scaffold109_size879770:767455-768360   -            302 905026at2759         -            402   3.8e-09   31.6   8.2   4   5   0.00029     0.017    9.7   0.0   330   366   229   265   225   271 0.90 -
scaffold109_size879770:767455-768360   -            302 905026at2759         -            402   3.8e-09   31.6   8.2   5   5     0.054       3.2    2.2   0.0   334   364   272   302   264   302 0.89 -
scaffold171_size496807:233968-234555   -            196 905026at2759         -            402   1.2e-07   26.6   0.1   1   4     0.023       1.4    3.4   0.0   337   367     9    39     4    43 0.89 -
scaffold171_size496807:233968-234555   -            196 905026at2759         -            402   1.2e-07   26.6   0.1   2   4     0.026       1.5    3.2   0.0   338   364    52    78    42    84 0.85 -
scaffold171_size496807:233968-234555   -            196 905026at2759         -            402   1.2e-07   26.6   0.1   3   4      0.27        16   -0.1   0.0   337   365    95   123    84   127 0.65 -
scaffold171_size496807:233968-234555   -            196 905026at2759         -            402   1.2e-07   26.6   0.1   4   4   9.8e-06   0.00059   14.5   0.0   336   370   135   169   127   186 0.77 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.3e-07   26.6   1.8   1   3     7e-05    0.0042   11.7   0.5   257   366     2   110     1   129 0.78 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.3e-07   26.6   1.8   2   3      0.03       1.8    3.0   0.0   336   365   122   151   114   156 0.65 -
scaffold11_size2099203:1139641-1140351 -            237 905026at2759         -            402   1.3e-07   26.6   1.8   3   3   0.00036     0.022    9.3   0.0   336   365   164   193   159   233 0.93 -
scaffold243_size230402:117230-117760   -            177 905026at2759         -            402   1.4e-07   26.4   0.6   1   2   5.4e-05    0.0033   12.0   0.1   330   367    20    57     8   101 0.77 -
scaffold243_size230402:117230-117760   -            177 905026at2759         -            402   1.4e-07   26.4   0.6   2   2   0.00026     0.016    9.8   0.0   330   368   104   142   100   145 0.92 -
scaffold243_size230402:119620-120282   -            221 905026at2759         -            402   8.4e-07   23.9   0.6   1   3   1.5e-05   0.00089   13.9   0.1   238   366     8   135     4   140 0.82 -
