#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACPG010002328_1:1-1518    -            416 6436at33634          -            420  4.5e-208  683.9   0.2   1   1  9.2e-209  5.3e-208  683.7   0.2     8   371    23   416     6   416 0.93 -
JAACPG010002550_1:6643-8390 -            547 6436at33634          -            420  6.4e-108  354.0   0.0   1   1  1.5e-108  8.8e-108  353.5   0.0    10   404    60   493    54   509 0.89 -
JAACPG010001835_1:2954-4102 -            383 6436at33634          -            420   7.5e-62  202.2   0.0   1   1   3.7e-62   2.1e-61  200.7   0.0     8   322    18   383    11   383 0.80 -
JAACPG010002967_1:2811-4173 -            421 6436at33634          -            420   4.2e-61  199.8   0.1   1   1     1e-61   5.7e-61  199.3   0.1    12   316    24   363    15   380 0.84 -
JAACPG010002441_1:1402-2556 -            385 6436at33634          -            420   1.9e-59  194.3   0.4   1   2   1.4e-07     8e-07   20.9   0.0    11    52    12    54     5    76 0.78 -
JAACPG010002441_1:1402-2556 -            385 6436at33634          -            420   1.9e-59  194.3   0.4   2   2   1.4e-52   8.2e-52  169.2   0.1    40   311    76   383    55   385 0.80 -
JAACPG010001231_1:3082-4476 -            356 6436at33634          -            420   1.2e-56  185.1   0.1   1   1   2.5e-57   1.5e-56  184.8   0.1     6   313    14   352    10   356 0.82 -
JAACPG010002126_1:3272-5481 -            372 6436at33634          -            420   1.5e-56  184.8   0.0   1   1   3.5e-57     2e-56  184.4   0.0    12   317    23   346    13   351 0.86 -
JAACPG010001426_1:6135-7448 -            395 6436at33634          -            420   8.4e-55  179.0   0.3   1   1     2e-55   1.2e-54  178.5   0.3     8   322    20   369    13   382 0.77 -
JAACPG010000381_1:3340-5129 -            567 6436at33634          -            420   3.3e-53  173.8   1.1   1   2   1.4e-27   7.9e-27   86.9   1.5    10   176    76   282    68   325 0.71 -
JAACPG010000381_1:3340-5129 -            567 6436at33634          -            420   3.3e-53  173.8   1.1   2   2   2.4e-25   1.4e-24   79.5   0.0   210   404   347   560   341   566 0.78 -
JAACPG010002957_1:1703-2921 -            369 6436at33634          -            420   1.4e-50  165.1   0.8   1   1   3.1e-51   1.8e-50  164.8   0.8    13   318    31   351    25   360 0.87 -
JAACPG010003042_1:8042-9163 -            374 6436at33634          -            420   9.2e-48  155.8   5.4   1   3   4.1e-20   2.3e-19   62.2   0.2    12   123    17   138     8   161 0.78 -
JAACPG010003042_1:8042-9163 -            374 6436at33634          -            420   9.2e-48  155.8   5.4   2   3   4.5e-11   2.6e-10   32.4   0.1   120   172   163   215   151   219 0.93 -
JAACPG010003042_1:8042-9163 -            374 6436at33634          -            420   9.2e-48  155.8   5.4   3   3   2.8e-20   1.6e-19   62.8   0.1   204   302   274   374   234   374 0.78 -
JAACPG010001267_1:4586-5578 -            331 6436at33634          -            420   5.6e-46  149.9   0.0   1   2   8.3e-30   4.8e-29   94.2   0.0    63   207    15   179     2   186 0.74 -
JAACPG010001267_1:4586-5578 -            331 6436at33634          -            420   5.6e-46  149.9   0.0   2   2   1.5e-17   8.3e-17   53.8   0.0   209   313   206   314   191   322 0.87 -
JAACPG010002522_1:5029-6525 -            499 6436at33634          -            420   1.2e-45  148.9   0.0   1   2   3.4e-23     2e-22   72.4   0.0    12   172    22   203    15   206 0.78 -
JAACPG010002522_1:5029-6525 -            499 6436at33634          -            420   1.2e-45  148.9   0.0   2   2   9.4e-24   5.4e-23   74.2   0.0   207   320   342   456   324   463 0.92 -
JAACPG010000333_1:1189-2610 -            370 6436at33634          -            420   1.6e-44  145.2   0.0   1   2   3.7e-26   2.1e-25   82.1   0.0    11   151     5   164     2   185 0.80 -
JAACPG010000333_1:1189-2610 -            370 6436at33634          -            420   1.6e-44  145.2   0.0   2   2   7.4e-20   4.3e-19   61.4   0.0   148   316   186   369   170   370 0.79 -
JAACPG010003205_1:66-1304   -            413 6436at33634          -            420   1.8e-44  145.0   0.1   1   1   4.2e-45   2.4e-44  144.5   0.1    13   316    51   388    46   409 0.80 -
JAACPG010000898_1:265-1350  -            362 6436at33634          -            420   2.1e-43  141.4   0.6   1   1   5.4e-42   3.1e-41  134.3   0.6     8   272    29   362    22   362 0.72 -
JAACPG010001384_1:853-2070  -            368 6436at33634          -            420   3.7e-39  127.5   0.3   1   2   1.1e-18   6.6e-18   57.5   0.0    38   170     1   161     1   187 0.72 -
