#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02001947_1:37332-39511 -            685 905026at2759         -            402   2.9e-67  223.3  10.2   1   4   2.3e-05   0.00092   14.2   0.4    21    71    43    93    26   104 0.82 -
WKLE02001947_1:37332-39511 -            685 905026at2759         -            402   2.9e-67  223.3  10.2   2   4   3.5e-11   1.4e-09   33.3   0.0    79   150   151   227   134   260 0.88 -
WKLE02001947_1:37332-39511 -            685 905026at2759         -            402   2.9e-67  223.3  10.2   3   4   1.7e-41     7e-40  133.1   4.4   176   328   380   540   339   548 0.86 -
WKLE02001947_1:37332-39511 -            685 905026at2759         -            402   2.9e-67  223.3  10.2   4   4   7.4e-14     3e-12   42.1   0.0   335   402   603   681   592   681 0.90 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   1   7   0.00037     0.015   10.2   0.0   338   367     2    31     1    36 0.91 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   2   7    0.0013     0.053    8.4   0.0   246   279    37    70    33    75 0.63 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   3   7   0.00054     0.022    9.7   0.0   248   362    81   110    73   119 0.61 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   4   7   1.5e-05   0.00062   14.8   0.1   330   367   120   157   116   161 0.90 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   5   7    0.0006     0.024    9.5   0.0   334   367   166   199   158   204 0.87 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   6   7    0.0063      0.25    6.1   0.0   333   367   207   243   201   248 0.83 -
WKLE02001684_1:75474-76376 -            301 905026at2759         -            402   9.4e-20   66.8   9.6   7   7   0.00088     0.036    8.9   0.2   330   366   248   284   240   288 0.84 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   1   7     0.028       1.1    4.0   0.0   338   367     2    31     1    35 0.88 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   2   7    0.0011     0.045    8.6   0.2   335   366    41    72    34    77 0.75 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   3   7   3.3e-05    0.0013   13.6   0.1   333   366    81   114    76   119 0.81 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   4   7   0.00029     0.012   10.5   0.0   335   366   125   156   117   162 0.86 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   5   7   0.00017    0.0067   11.3   0.1   248   366   165   198   155   203 0.61 -
WKLE02006379_1:12526-13422 -            299 905026at2759         -            402   1.2e-19   66.5  15.9   6   7   0.00084     0.034    9.0   0.0   334   367   208   241   202   245 0.83 -
