#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig439:39943-43323 -           1127 331411at2759         -            419   1.9e-31  105.2  16.6   1   3   2.6e-17   7.9e-15   50.5   0.2    63   158   327   438   324   443 0.80 -
Sro_contig439:39943-43323 -           1127 331411at2759         -            419   1.9e-31  105.2  16.6   2   3   2.1e-07   6.4e-05   17.8  11.7   165   283   489   643   478   650 0.72 -
Sro_contig439:39943-43323 -           1127 331411at2759         -            419   1.9e-31  105.2  16.6   3   3     7e-12   2.1e-09   32.6   0.0   284   343   735   803   732   811 0.83 -
Sro_contig626:34663-38061 -           1133 331411at2759         -            419   6.7e-31  103.4  17.7   1   3   1.5e-17   4.7e-15   51.2   0.3    63   158   332   444   329   449 0.79 -
Sro_contig626:34663-38061 -           1133 331411at2759         -            419   6.7e-31  103.4  17.7   2   3   1.6e-07   4.7e-05   18.2  12.0   165   283   496   649   485   656 0.73 -
Sro_contig626:34663-38061 -           1133 331411at2759         -            419   6.7e-31  103.4  17.7   3   3     2e-11   6.2e-09   31.0   0.0   284   343   741   809   739   818 0.82 -
Sro_contig1396:8981-9565  -            195 331411at2759         -            419   0.00078   14.2   0.0   1   2   0.00084      0.26    5.9   0.0   329   383     8    60     2    96 0.78 -
Sro_contig1396:8981-9565  -            195 331411at2759         -            419   0.00078   14.2   0.0   2   2    0.0018      0.55    4.9   0.0   325   371   120   163   116   184 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/rerun_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/hmmer_output/rerun_results/331411at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/331411at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Seminavis_robusta_version1.2/run_eukaryota_odb10/metaeuk_output/rerun_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 13:41:05 2021
# [ok]
