#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01004083_1:1056-2394   -            417 664730at2759         -            349  1.8e-177  585.5   0.7   1   2    3e-127  4.4e-125  413.2   0.0     1   248    13   275    13   290 0.94 -
OLMU01004083_1:1056-2394   -            417 664730at2759         -            349  1.8e-177  585.5   0.7   2   2   4.2e-53   6.1e-51  169.3   0.6   251   348   305   413   294   414 0.91 -
OLMU01004387_1:1096-2367   -            424 664730at2759         -            349   8.9e-55  181.9   0.0   1   2   3.1e-51   4.5e-49  163.2   0.0     2   248    32   313    31   327 0.83 -
OLMU01004387_1:1096-2367   -            424 664730at2759         -            349   8.9e-55  181.9   0.0   2   2   9.4e-07   0.00014   16.9   0.0   263   324   359   421   347   424 0.83 -
OLMU01002251_1:11628-12623 -            332 664730at2759         -            349   3.3e-39  130.7   3.5   1   3   1.4e-15   2.1e-13   45.9   0.0     3    77     1    77     1    90 0.90 -
OLMU01002251_1:11628-12623 -            332 664730at2759         -            349   3.3e-39  130.7   3.5   2   3     2e-19   2.9e-17   58.6   0.2   140   246   118   219   105   228 0.89 -
OLMU01002251_1:11628-12623 -            332 664730at2759         -            349   3.3e-39  130.7   3.5   3   3   1.7e-09   2.4e-07   25.9   0.1   266   326   267   329   258   331 0.88 -
OLMU01000802_1:15215-16372 -            386 664730at2759         -            349   1.3e-30  102.5   0.1   1   1   1.3e-32   1.9e-30  101.9   0.1     3   214    20   250    17   305 0.84 -
OLMU01002251_1:4718-5908   -            397 664730at2759         -            349   1.1e-25   86.2   0.1   1   1   1.1e-27   1.6e-25   85.7   0.1     3   223    17   253    14   261 0.86 -
OLMU01002643_1:6262-6909   -            216 664730at2759         -            349   1.6e-06   23.2   0.0   1   2   4.8e-05    0.0068   11.3   0.1    41   132     4   113     1   162 0.63 -
OLMU01002643_1:6262-6909   -            216 664730at2759         -            349   1.6e-06   23.2   0.0   2   2    0.0001     0.015   10.2   0.0   131   199   147   216   131   216 0.86 -
OLMU01000154_1:44164-45105 -            314 664730at2759         -            349   0.00048   15.1   0.0   1   1   4.7e-06   0.00068   14.6   0.0   124   192   237   314   224   314 0.75 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/664730at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/hmmer_output/initial_run_results/664730at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/664730at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 09:19:33 2021
# [ok]
