# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	KV784361_1	493493	500269	-	1637.2	1403
83779at2759	Complete	KV784359_1	750807	752444	+	155.8	193
87842at2759	Complete	KV784371_1	1042535	1046297	+	192.5	525
97116at2759	Duplicated	KV784356_1	2902373	2907221	+	574.6	826
97116at2759	Duplicated	KV784362_1	1871600	1876911	-	634.7	894
100698at2759	Duplicated	KV784353_1	2451563	2453921	+	690.5	507
100698at2759	Duplicated	KV784446_1	69035	71393	-	697.7	508
142542at2759	Missing
156083at2759	Complete	KV784356_1	1621426	1628768	+	2611.6	1535
160593at2759	Duplicated	KV784358_1	245480	250283	+	1012.1	1053
160593at2759	Duplicated	KV784367_1	925168	929920	-	1013.0	1053
166920at2759	Duplicated	KV784353_1	105730	110062	+	481.9	670
166920at2759	Duplicated	KV784376_1	744433	748768	-	485.0	671
176625at2759	Fragmented	KV784358_1	402455	406456	-	153.6	243
179362at2759	Complete	KV784364_1	761622	767057	-	459.3	933
245208at2759	Complete	KV784361_1	414280	417834	+	1396.6	838
257318at2759	Complete	KV784384_1	181428	183302	-	189.1	306
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	KV784394_1	349492	353149	+	539.1	514
293315at2759	Duplicated	KV784393_1	158444	161754	+	529.1	574
293315at2759	Duplicated	KV784357_1	1883035	1886347	-	555.3	576
296129at2759	Complete	KV784360_1	2057163	2060528	-	878.0	707
299766at2759	Duplicated	KV784404_1	333582	337907	+	340.2	421
299766at2759	Duplicated	KV784359_1	1934961	1939292	+	341.4	421
306227at2759	Duplicated	KV784397_1	394790	397084	+	425.1	509
306227at2759	Duplicated	KV784364_1	514374	516668	-	425.3	509
320059at2759	Duplicated	KV784354_1	2113917	2115826	-	810.1	451
320059at2759	Duplicated	KV784399_1	262323	264232	+	810.3	451
324863at2759	Duplicated	KV784398_1	384661	387394	-	338.1	367
324863at2759	Duplicated	KV784358_1	2155415	2158121	-	365.7	437
325552at2759	Missing
330169at2759	Duplicated	KV784373_1	65201	67262	+	212.3	283
330169at2759	Duplicated	KV784375_1	833719	835786	+	228.5	323
331411at2759	Missing
341721at2759	Duplicated	KV784428_1	120025	121944	-	225.6	365
341721at2759	Duplicated	KV784375_1	207747	209666	+	226.2	365
345441at2759	Duplicated	KV784353_1	4307107	4309170	+	262.1	335
345441at2759	Duplicated	KV784372_1	382591	384606	-	267.1	309
355408at2759	Duplicated	KV784373_1	663286	665466	+	561.3	550
355408at2759	Duplicated	KV784453_1	112724	114904	-	562.2	549
369837at2759	Duplicated	KV784397_1	461375	464017	+	176.3	318
369837at2759	Duplicated	KV784373_1	892066	895074	-	180.8	350
375960at2759	Missing
383503at2759	Complete	KV784354_1	2866004	2868049	+	213.6	289
388820at2759	Missing
390348at2759	Complete	KV784361_1	1252128	1255034	-	1084.1	701
392369at2759	Duplicated	KV784358_1	1211863	1213708	+	378.2	343
392369at2759	Duplicated	KV784461_1	37768	39601	+	378.6	343
396755at2759	Complete	KV784354_1	2811569	2815229	+	177.5	691
418107at2759	Duplicated	KV784383_1	18729	22204	+	206.2	290
418107at2759	Duplicated	KV784371_1	1091946	1095213	+	230.2	289
426305at2759	Duplicated	KV784433_1	70355	73003	-	244.8	453
426305at2759	Duplicated	KV784353_1	5864141	5866789	+	246.4	453
450058at2759	Missing
453044at2759	Missing
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	KV784358_1:393798-775714	393798	395384	-	159.8	234
513979at2759	Duplicated	KV784361_1	1034728	1035573	+	135.2	157
513979at2759	Duplicated	KV784415_1	270176	271021	+	135.5	159
543764at2759	Complete	KV784361_1	211150	212759	+	176.7	209
549762at2759	Duplicated	KV784364_1	1033546	1034994	+	377.3	295
549762at2759	Duplicated	KV784419_1	210065	211492	-	378.1	295
551907at2759	Complete	KV784354_1	2627784	2630600	+	188.8	310
570797at2759	Duplicated	KV784435_1	170628	172487	+	388.4	461
570797at2759	Duplicated	KV784363_1	1550453	1552307	-	391.6	466
582756at2759	Complete	KV784358_1	1475578	1476861	-	163.4	328
598949at2759	Complete	KV784358_1	1491971	1493815	+	270.6	364
604979at2759	Complete	KV784353_1	3194273	3195743	-	366.4	301
621827at2759	Missing
625387at2759	Complete	KV784355_1	2620270	2624790	+	107.0	275
655400at2759	Complete	KV784392_1	22641	23783	+	154.0	205
664730at2759	Complete	KV784373_1	835883	837145	+	567.5	339
671536at2759	Complete	KV784354_1	2469677	2471469	+	408.2	363
671846at2759	Missing
673132at2759	Duplicated	KV784356_1	235639	237446	-	209.9	273
673132at2759	Duplicated	KV784400_1	197182	199023	+	235.4	282
674160at2759	Complete	KV784354_1	520865	524998	-	307.0	741
674169at2759	Complete	KV784359_1	1628632	1630218	-	107.7	193
679187at2759	Complete	KV784356_1	1175250	1177514	-	236.4	390
679771at2759	Duplicated	KV784359_1	1918695	1919831	+	72.8	146
679771at2759	Duplicated	KV784404_1	317471	318601	+	73.0	146
687505at2759	Missing
692986at2759	Complete	KV784365_1:103846-1433452	1430844	1433452	+	111.0	282
708105at2759	Fragmented	KV784445_1	21388	23128	+	54.9	121
719531at2759	Duplicated	KV784398_1	340067	342068	+	328.1	282
719531at2759	Duplicated	KV784358_1	2114795	2116855	+	328.3	282
720340at2759	Duplicated	KV784404_1	258322	259797	-	87.1	131
720340at2759	Duplicated	KV784359_1	1857287	1858756	-	87.7	131
721605at2759	Duplicated	KV784363_1	850400	851639	-	176.3	251
721605at2759	Duplicated	KV784361_1	2355667	2356934	-	177.0	251
722805at2759	Missing
734341at2759	Duplicated	KV784358_1	642814	643938	+	78.5	142
734341at2759	Duplicated	KV784391_1	46911	48029	+	78.6	142
734666at2759	Complete	KV784361_1	457143	458973	+	344.6	388
736068at2759	Complete	KV784354_1	2359439	2360920	-	119.7	264
751335at2759	Duplicated	KV784359_1	1984435	1986202	+	122.1	216
