#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NKIB01012676_1:54715-58275 -           1187 693at33634           -            925         0 1517.8  13.9   1   2   6.3e-90   3.7e-88  290.5   2.3     1   212    66   318    66   325 0.85 -
NKIB01012676_1:54715-58275 -           1187 693at33634           -            925         0 1517.8  13.9   2   2         0         0 1222.9   4.1   210   925   343  1185   333  1185 0.89 -
NKIB01009642_1:7601-11134  -           1178 693at33634           -            925  4.8e-195  644.3   9.8   1   5   1.2e-23   7.1e-22   71.2   0.0    27   143    48   190     1   213 0.74 -
NKIB01009642_1:7601-11134  -           1178 693at33634           -            925  4.8e-195  644.3   9.8   2   5   0.00073     0.044    5.7   0.0   172   199   245   272   233   279 0.88 -
NKIB01009642_1:7601-11134  -           1178 693at33634           -            925  4.8e-195  644.3   9.8   3   5   2.7e-11   1.6e-09   30.3   0.0   216   307   337   434   311   444 0.80 -
NKIB01009642_1:7601-11134  -           1178 693at33634           -            925  4.8e-195  644.3   9.8   4   5   4.3e-37   2.5e-35  115.7   0.0   315   476   465   637   459   650 0.88 -
NKIB01009642_1:7601-11134  -           1178 693at33634           -            925  4.8e-195  644.3   9.8   5   5  3.5e-129  2.1e-127  420.4   1.7   474   922   660  1177   649  1178 0.83 -
NKIB01007994_1:6591-9719   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   1   4       0.3        18   -3.0   0.1   117   129     1    13     1    17 0.87 -
NKIB01007994_1:6591-9719   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   2   4   3.9e-50   2.3e-48  158.8   0.0   234   624   213   653   169   678 0.69 -
NKIB01007994_1:6591-9719   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   3   4     2e-64   1.2e-62  206.1   0.0   669   881   737   958   715   969 0.88 -
NKIB01007994_1:6591-9719   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   4   4     0.028       1.7    0.4   0.0   894   924  1011  1041   994  1042 0.84 -
NKIB01012603_1:1554-4682   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   1   4       0.3        18   -3.0   0.1   117   129     1    13     1    17 0.87 -
NKIB01012603_1:1554-4682   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   2   4   3.9e-50   2.3e-48  158.8   0.0   234   624   213   653   169   678 0.69 -
NKIB01012603_1:1554-4682   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   3   4     2e-64   1.2e-62  206.1   0.0   669   881   737   958   715   969 0.88 -
NKIB01012603_1:1554-4682   -           1043 693at33634           -            925  1.1e-112  371.6   0.2   4   4     0.028       1.7    0.4   0.0   894   924  1011  1041   994  1042 0.84 -
NKIB01013186_1:39148-41415 -            756 693at33634           -            925   2.8e-56  185.1   0.5   1   4   2.1e-11   1.3e-09   30.6   0.1   231   385     9   150     1   163 0.83 -
NKIB01013186_1:39148-41415 -            756 693at33634           -            925   2.8e-56  185.1   0.5   2   4   4.9e-05    0.0029    9.6   0.0   490   541   209   260   196   264 0.91 -
NKIB01013186_1:39148-41415 -            756 693at33634           -            925   2.8e-56  185.1   0.5   3   4   5.3e-08   3.2e-06   19.4   0.0   578   662   355   448   351   458 0.80 -
NKIB01013186_1:39148-41415 -            756 693at33634           -            925   2.8e-56  185.1   0.5   4   4     3e-38   1.8e-36  119.5   0.0   686   917   509   754   491   756 0.83 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/693at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionella_formosa_ASM225602v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_002256025.1_ASM225602v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionella_formosa_ASM225602v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/693at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/693at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionella_formosa_ASM225602v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_002256025.1_ASM225602v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 14:08:58 2021
# [ok]
